TAZ,Pop,Income,Area_SqMi,x-meters,y-meters,EmpDens,PopDens,TotEmp,Military,CVM_IN,CVM_RE,CVM_SV,CVM_TH,CVM_WH,CVM_GO,CVM_LU_Type,SqrtArea,CVM_LU_Low,CVM_LU_Res,CVM_LU_Ret,CVM_LU_Ind,CVM_LU_Emp,Emp_LU_Lo,Emp_LU_Re,Emp_LU_RC,Emp_LU_In,Emp_LU_EN
82,358,63572.1875,0.96,261141.6,-512107.8,48.9102913,373.8868961,46.83203522,0,34.85174714,7.623819687,1.089117098,0,1.089117098,2.178234196,2,0.978523795,0,1,0,0,0,0,46.83203522,0,0,0
83,2124,62845.96645,0.08,255287.6,-511789.8,286.707107,25415.32772,23.96057616,0,8.712936786,0,9.802053883,0,0,5.44558549,2,0.289087557,0,1,0,0,0,0,23.96057616,0,0,0
84,255,47589.34426,0.03,255509.9,-511625.1,1312.679053,10106.22881,33.12147043,0,4.356468392,0,2.626191688,15.24763937,0,10.89117098,2,0.158845723,0,1,0,0,0,0,33.12147043,0,0,0
85,231,42368.75,0.05,255797,-511843,9071.101994,4974.596629,421.2250193,0,84.95113365,169.9022673,118.450466,0,2.178234196,45.74291812,3,0.215489967,0,0,1,0,0,0,0,421.2250193,0,0
86,1005,62241.8,0.06,256009.1,-511976.9,3915.372809,16348.28998,240.6948787,0,64.25790879,22.87145906,111.089944,0,4.356468392,38.11909844,2,0.247940153,0,1,0,0,0,0,240.6948787,0,0,0
87,510,47466.54412,0.07,256338.8,-511848.1,594.5571075,7524.669874,40.29733263,0,39.20821553,0,1.089117098,0,0,0,2,0.260340277,0,1,0,0,0,0,40.29733263,0,0,0
88,690,41832.83582,0.22,256931,-512072.8,24.75752617,3136.980052,5.44558549,0,0,0,4.356468392,0,0,1.089117098,2,0.46899549,0,1,0,0,0,0,5.44558549,0,0,0
89,770,46745.18349,0.1,257483.6,-511827.5,10.9441281,7737.440404,1.089117098,0,0,0,0,0,0,1.089117098,2,0.315461747,0,1,0,0,0,0,1.089117098,0,0,0
90,111,50564.51613,0.03,257887.8,-511665.1,1654.437477,4112.585173,44.65380102,0,0,0,44.65380102,0,0,0,2,0.164287317,0,1,0,0,0,0,44.65380102,0,0,0
91,77,37261.90476,0.06,257936.7,-512029.1,216.7507544,1277.013595,13.06940518,0,0,0,11.98028808,0,0,1.089117098,2,0.245554333,0,1,0,0,0,0,13.06940518,0,0,0
92,4,52500,0.05,255445.4,-512049.1,10529.51391,87.16261994,483.212364,0,7.623819687,194.9519606,205.487504,0,22.87145906,52.27762071,3,0.214222389,0,0,1,0,0,0,0,483.212364,0,0
93,83,65000,1.41,264774,-512126.1,2.312021609,58.73191348,3.267351294,0,3.267351294,0,0,0,0,0,1,1.188781317,1,0,0,0,0,3.267351294,0,0,0,0
94,631,76417.59928,1.45,263666.4,-513547.8,18.83029371,436.3870644,27.22792745,0,15.24763937,0,2.178234196,0,0,9.802053883,2,1.202482446,0,1,0,0,0,0,27.22792745,0,0,0
95,290,35419.16667,0.1,257718.3,-512178.9,102.9556371,3046.008021,9.802053883,0,0,0,0,0,0,9.802053883,2,0.308555632,0,1,0,0,0,0,9.802053883,0,0,0
96,213,33246.26866,0.06,256337.1,-512194.8,361.6161097,3722.195641,20.69322486,0,0,0,16.33675647,0,0,4.356468392,2,0.239215989,0,1,0,0,0,0,20.69322486,0,0,0
97,336,84573.8806,0.3,258499.3,-512074.2,286.4784118,1117.460828,86.13881036,0,0,0,63.26735129,14.15852228,0,8.712936785,2,0.548344491,0,1,0,0,0,0,86.13881036,0,0,0
98,89,77045.37037,2.5,268015.9,-512537.8,2.175357151,35.55297898,5.44558549,0,3.267351294,0,0,0,2.178234196,0,1,1.582184062,1,0,0,0,0,5.44558549,0,0,0,0
99,1626,66769.9115,0.04,255560.2,-512311.1,308.4034909,38369.31133,13.06940518,0,10.89117098,0,2.178234196,0,0,0,2,0.205858246,0,1,0,0,0,0,13.06940518,0,0,0
100,1018,59984.93976,0.2,255913.7,-512810.9,1480.689099,5025.881594,299.9158405,0,21.78234196,47.92115232,202.9844188,0,0,27.22792746,2,0.45005725,0,1,0,0,0,0,299.9158405,0,0,0
101,153,20318.07692,29.9,301288.1,-513693.8,0.582734666,5.116438121,17.42587357,0,3.267351294,0,2.178234196,0,0,11.98028808,1,5.468419866,1,0,0,0,0,17.42587357,0,0,0,0
102,1272,67529.60048,0.33,255337.5,-512835.9,173.8967424,3813.060318,58.01026942,0,30.49527875,0,0,0,0,27.51499067,2,0.577572781,0,1,0,0,0,0,58.01026942,0,0,0
103,321,48610.65217,0.08,256234.2,-512578.1,3122.903362,4068.612762,246.3866772,0,90.39671915,76.23819687,69.94970733,4.356468392,0,5.44558549,3,0.280885511,0,0,1,0,0,0,0,246.3866772,0,0
104,236,47193.68421,0.13,256941.2,-512554.6,110.8356918,1847.454329,14.15852228,0,1.089117099,0,10.89117098,0,0,2.178234196,2,0.357412013,0,1,0,0,0,0,14.15852228,0,0,0
105,371,32754.23729,0.25,257863.3,-512823.3,21.85887371,1489.213999,5.44558549,0,0,0,4.356468392,0,0,1.089117098,2,0.499123939,0,1,0,0,0,0,5.44558549,0,0,0
106,264,84477.74725,0.17,258397.2,-512930.7,57.52569763,1549.347142,9.802053883,0,0,0,0,0,0,9.802053883,2,0.412788506,0,1,0,0,0,0,9.802053883,0,0,0
107,294,74770.20202,0.13,258985,-512568.1,638.7653031,2262.614447,83,0,0,0,83,0,0,0,2,0.360469386,0,1,0,0,0,0,83,0,0,0
108,403,64480.03247,0.7,259902.6,-513418.3,57.28680169,572.9059363,40.29733263,0,17.42587357,0,13.06940518,1.089117098,0,8.712936785,2,0.838708147,0,1,0,0,0,0,40.29733263,0,0,0
109,315,71278.125,0.67,261317.9,-513466.1,14.60360206,469.3031382,9.802053882,0,6.534702588,0,2.178234196,0,0,1.089117098,2,0.819272821,0,1,0,0,0,0,9.802053882,0,0,0
110,573,38941.9964,0.4,264327.6,-513508.3,437.0100901,1419.242134,176.4369699,0,10.89117098,0,164.4566818,0,0,1.089117098,2,0.63540271,0,1,0,0,0,0,176.4369699,0,0,0
111,198,58225.80645,0.12,256391.1,-512948.3,1050.521384,1701.226288,122.266647,0,0,0,98.30607083,0,0,23.96057616,5,0.341154852,0,0,0,0,1,0,0,0,0,122.266647
112,176,62500,0.12,256965.1,-512980,9.035808935,1460.175747,1.089117098,0,0,0,0,0,0,1.089117098,2,0.347179256,0,1,0,0,0,0,1.089117098,0,0,0
113,262,83853.53261,0.19,258826.9,-513201.1,17.37081885,1392.918646,3.267351294,0,0,0,1.089117098,0,0,2.178234196,2,0.43369835,0,1,0,0,0,0,3.267351294,0,0,0
114,40,74772.72727,1.06,271116.5,-512759.4,2091.548751,37.89654858,2207.640357,0,4.356468392,0,2203.283889,0,0,0,5,1.027377775,0,0,0,0,1,0,0,0,0,2207.640357
115,243,84894.77612,9.44,272990.3,-515263.6,0,25.7527262,0,0,0,0,0,0,0,0,1,3.071790066,1,0,0,0,0,0,0,0,0,0
116,208,62272.72727,0.12,257145.3,-513440.5,0,1668.800922,0,0,0,0,0,0,0,0,5,0.353044461,0,0,0,0,1,0,0,0,0,0
117,423,60394.73684,0.12,257582.3,-513410,44.13813678,3428.54444,5.445585491,0,3.267351295,0,2.178234196,0,0,0,2,0.351249158,0,1,0,0,0,0,5.445585491,0,0,0
118,599,49697.34375,6.08,277838.8,-516649.8,29.66995694,98.5230474,180.3872766,0,133.9614031,0,46.42587357,0,0,0,1,2.465724174,1,0,0,0,0,180.3872766,0,0,0,0
119,353,78686.53846,0.8,261912.3,-514151.5,79.9670256,439.2978323,64.25790879,0,10.89117098,1.089117098,50.09938651,0,0,2.178234196,2,0.896412332,0,1,0,0,0,0,64.25790879,0,0,0
120,79,63451.5625,43.69,321168,-517914.4,0.411957299,1.808034812,18,0,0,0,0,0,0,18,1,6.610132296,1,0,0,0,0,18,0,0,0,0
121,384,84049.39394,0.71,258612.1,-513724.7,187.7802501,544.3928792,132.4551051,0,69.70349428,0,7.206638826,21.78234196,8.712936784,25.04969326,2,0.839864828,0,1,0,0,0,0,132.4551051,0,0,0
122,498,91383.24873,0.22,256847.6,-513976.9,14.5873357,2223.358471,3.267351294,0,0,0,2.178234196,0,0,1.089117098,2,0.473271036,0,1,0,0,0,0,3.267351294,0,0,0
123,16,64678,0.46,255965,-514098.2,110.8648246,34.65303863,51.18850361,0,47.92115232,0,2.178234196,1.089117098,0,0,1,0.679499795,1,0,0,0,0,51.18850361,0,0,0,0
124,356,61151.31579,0.19,257389.1,-513678.4,11.61709862,1898.642081,2.178234196,0,0,0,2.178234196,0,0,0,2,0.433015505,0,1,0,0,0,0,2.178234196,0,0,0
125,272,73288.52941,0.25,257336.6,-514588.8,1382.69164,1086.503325,346.1490798,0,70.79261138,0,271,0,1.089117098,3.267351294,4,0.50034426,0,0,0,1,0,0,0,0,346.1490798,0
126,0,64678,0.26,264803.2,-514058.7,0,0,0,0,0,0,0,0,0,0,1,0.507319676,1,0,0,0,0,0,0,0,0,0
127,0,64678,0.17,265207.1,-513701.1,0,0,0,0,0,0,0,0,0,0,1,0.406750142,1,0,0,0,0,0,0,0,0,0
128,3,52500,0.53,266246.5,-514285.2,0,5.684428984,0,0,0,0,0,0,0,0,1,0.726469197,1,0,0,0,0,0,0,0,0,0
129,49,58015,0.44,266459.3,-513906.8,22.08517195,110.4027215,9.802053883,0,7.623819687,0,0,0,0,2.178234196,1,0.666205403,1,0,0,0,0,9.802053883,0,0,0,0
130,41,107222.2222,1.56,267485.3,-514315.6,0,26.35680226,0,0,0,0,0,0,0,0,1,1.247227187,1,0,0,0,0,0,0,0,0,0
131,424,91099.35897,3.25,278640.3,-514348.7,13.07157175,130.4831657,42.47556683,0,42.47556683,0,0,0,0,0,1,1.802626229,1,0,0,0,0,42.47556683,0,0,0,0
132,280,75581.63265,0.42,260151.7,-514397.5,10.34077836,664.6250312,4.356468392,0,3.267351294,0,0,0,0,1.089117098,2,0.649068703,0,1,0,0,0,0,4.356468392,0,0,0
133,668,63852.96804,0.69,258664,-515770.3,144.7056191,962.564278,100.4227518,0,78.41643106,0,2.402212942,0,4.356468392,15.24763937,2,0.833054397,0,1,0,0,0,0,100.4227518,0,0,0
134,7,37500,0.1,265324.7,-514405.8,0,69.51215647,0,0,0,0,0,0,0,0,1,0.317335486,1,0,0,0,0,0,0,0,0,0
135,420,78954.86111,0.49,256961.8,-515878.1,62.33361711,858.4974547,30.49527875,0,23.96057616,0,2.178234196,0,0,4.356468392,2,0.699447527,0,1,0,0,0,0,30.49527875,0,0,0
